"","2008-base","2008-base","2008-base","2008-base","2018-base","2018-base","2018-base","2018-base"
"","2015","2016","2017","2018","2015","2016","2017","2018"
"","in thousands","in thousands","in thousands","in thousands","in thousands","in thousands","in thousands","in thousands"
"geography","","","","","","","",""
"canada","4,238","3,739","3,413","3,173","5,074","4,543","4,188","3,983"
"newfoundland and labrador","63","56","50","50","68","64","59","58"
"prince edward island","20","17","15","14","21","17","20","18"
"nova scotia","127","119","118","96","156","149","139","124"
"new brunswick","102","86","71","58","117","99","89","74"
"quebec","890","706","744","655","1,118","896","888","812"
"ontario","1,757","1,624","1,436","1,351","2,062","1,883","1,706","1,658"
"manitoba","146","115","108","117","169","151","137","137"
"saskatchewan","114","98","103","96","135","123","133","122"
"alberta","341","362","286","316","415","453","379","403"
"british columbia","678","557","481","421","812","707","638","577"
"age group","","","","","","","",""
"persons under 18 years","900","755","622","566","1,115","958","803","748"
"persons 18 to 64 years","3,049","2,701","2,553","2,392","3,565","3,180","3,026","2,883"
"persons 65 years and over","289","284","238","216","394","405","360","352"
