"season","team","league","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs"
"season","team","league","g","w","l","t","otl","points","gf","ga","standing","1st round","2nd round","finals"
"1979-80","clippers","ehl","70","41","25","4","-","86","308","225","2nd, ehl","unknown, utica","-","-"
"1980-81","clippers","ehl","72","29","36","7","-","65","278","286","4th, ehl","l, 0-4, erie","-","-"
"1981-82","skipjacks","achl","48","22","23","3","-","47","204","189","3rd, achl","l, 3-4, mohawk valley","-","-"
"1982-83","skipjacks","ahl","80","35","36","9","-","79","362","366","5th, south","out of playoffs","out of playoffs","out of playoffs"
"1983-84","skipjacks","ahl","80","46","24","10","-","102","384","304","1st, south","w, 4-0, springfield","l, 2-4, rochester","-"
"1984-85","skipjacks","ahl","80","45","27","8","-","98","326","252","2nd, south","w, 4-1, rochester","w, 4-0, binghamton","l, 2-4, sherbrooke"
"1985-86","skipjacks","ahl","80","28","44","8","-","64","271","304","7th, south","out of playoffs","out of playoffs","out of playoffs"
"1986-87","skipjacks","ahl","80","35","37","-","8","78","277","295","5th, south","out of playoffs","out of playoffs","out of playoffs"
"1987-88","skipjacks","ahl","80","13","58","9","0","35","268","434","7th, south","out of playoffs","out of playoffs","out of playoffs"
"1988-89","skipjacks","ahl","80","30","46","4","-","64","317","347","6th, south","out of playoffs","out of playoffs","out of playoffs"
"1989-90","skipjacks","ahl","80","43","30","7","-","93","302","265","3rd, south","w, 4-2, adirondack","l, 2-4, rochester","-"
"1990-91","skipjacks","ahl","80","39","34","7","-","85","325","289","3rd, south","l, 2-4, binghamton","-","-"
"1991-92","skipjacks","ahl","80","28","42","10","-","66","287","320","5th, south","out of playoffs","out of playoffs","out of playoffs"
"1992-93","skipjacks","ahl","80","28","40","12","-","68","318","353","4th, south","l, 3-4, binghamton","-","-"
