"","being approachable and easy to talk to","ensuring safety of citizens","treating people fairly","enforcing the laws","promptly responding to calls","providing information on ways to prevent crime"
"","percent","percent","percent","percent","percent","percent"
"sex","","","","","",""
"male","68","62","57","48","49","47"
"female","68","59","53","53","49","45"
"age group","","","","","",""
"15 to 24 years","64","62","58","45","46","44"
"25 to 34 years","64","57","51","46","47","38"
"35 to 44 years","71","58","51","49","47","44"
"45 to 54 years","67","60","53","51","49","50"
"55 to 64 years","73","66","61","59","54","54"
"65 to 74 years","79","63","59","62","53","52"
"75 years and older","66","71","68","64","57","49"
"marital status","","","","","",""
"married/common law","69","61","54","51","48","46"
"separated/divorced","66","52","50","53","49","45"
"single","66","60","56","48","50","45"
"widowed","71","66","70","64","55","56"
"level of education","","","","","",""
"less than high school","67","63","59","47","46","46"
"high school diploma","65","61","54","48","46","44"
"post-secondary diploma or certificate","69","60","52","52","50","48"
"university degree","73","59","53","57","57","44"
"main activity in the last 12 months","","","","","",""
"working at a paid job or self-employed","67","59","53","50","47","43"
"looking for paid work","60","59","49","34","39","48"
"going to school","73","68","65","55","55","53"
"caring, household work","67","60","50","52","54","50"
"retired","71","63","61","59","55","51"
"other","70","65","71","45","51","46"
"household income","","","","","",""
"less than $20,000","64","71","65","46","53","52"
"$20,000 to $39,999","67","61","43","45","43","47"
"$40,000 to $59,999","70","64","61","51","47","49"
"$60,000 to $99,999","62","50","44","44","42","39"
"$100,000 to $149,999","70","61","56","52","51","43"
"$150,000 or more","70","61","53","56","50","49"
"visible minority","","","","","",""
"visible minority","78","73","65","70","73","65"
"non-visible minority","68","60","55","50","48","45"
"aboriginal identity","","","","","",""
"aboriginal","62","57","51","43","41","42"
"non-aboriginal","75","65","59","59","58","50"
"immigrant status","","","","","",""
"non-immigrant","67","60","55","49","47","45"
"longer-term immigrant","82","65","62","65","67","58"
"recent immigrant","79","70","63","72","74","61"
"immigrant, length of time in canada unknown","f","f","f","f","f","f"
"total","68","61","55","51","49","46"
