"agricultural regions","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken"
"agricultural regions","english","french","other","english","french","other","total"
"agricultural regions","number","number","number","percent","percent","percent","total"
"abitibi-temiscamingue nord-du-quebec","885","9,410","0","8.6","91.2","0.0","10,320"
"outaouais","3,505","15,400","35","18.5","81.3","0.2","18,945"
"laurentides","2,100","34,485","55","5.7","94.1","0.2","36,640"
"lanaudiere","810","31,445","0","2.5","97.4","0.0","32,275"
"montreal - laval","48,860","92,885","2,285","33.9","64.5","1.6","144,030"
"monteregie","10,545","91,810","595","10.2","89.2","0.6","102,950"
"mauricie","205","15,865","0","1.3","98.7","0.0","16,070"
"centre-du-quebec","255","17,100","0","1.5","98.5","0.0","17,365"
"estrie","910","16,105","45","5.3","94.4","0.3","17,060"
"quebec","915","46,450","100","1.9","97.9","0.2","47,465"
"chaudiere-appalaches","220","28,430","0","0.8","99.2","0.0","28,670"
"bas-saint-laurent","65","12,215","0","0.5","99.5","0.0","12,280"
"saguenay lac-saint-jean cote-nord","400","22,670","0","1.7","98.3","0.0","23,070"
"gaspesie iles-de-la-madeleine","570","7,220","0","7.3","92.6","0.0","7,795"
