"household living arrangement","canadian-born","canadian-born","total immigrants","total immigrants","recent immigrants","recent immigrants"
"household living arrangement","female","male","female","male","female","male"
"household living arrangement","percentage","percentage","percentage","percentage","percentage","percentage"
"15 to 24 years","","","","","",""
"total","100.0","100.0","100.0","100.0","100.0","100.0"
"living in a census family","88.1","87.0","89.8","88.4","86.5","84.0"
"living with at least one relative","1.9","2.2","3.3","3.5","5.4","5.2"
"living with non-relatives only","6.9","7.2","4.6","5.4","6.0","7.9"
"living alone","3.2","3.5","2.3","2.7","2.1","2.8"
"25 to 54 years","","","","","",""
"total","100.0","100.0","100.0","100.0","100.0","100.0"
"living in a census family","84.4","77.4","89.2","84.6","85.6","80.6"
"living with at least one relative","1.2","1.7","2.2","2.4","3.7","3.7"
"living with non-relatives only","4.0","6.2","3.2","4.5","5.9","7.5"
"living alone","10.4","14.7","5.4","8.6","4.7","8.2"
"55 to 64 years","","","","","",""
"total","100.0","100.0","100.0","100.0","100.0","100.0"
"living in a census family","74.7","78.4","81.2","86.4","77.3","89.7"
"living with at least one relative","2.5","1.6","4.8","1.8","15.3","3.3"
"living with non-relatives only","2.5","3.1","2.0","2.3","2.4","2.4"
"living alone","20.3","16.9","11.9","9.5","5.0","4.5"
"65 years and over","","","","","",""
"total","100.0","100.0","100.0","100.0","100.0","100.0"
"living in a census family","55.1","76.7","57.4","82.0","51.5","85.8"
"living with at least one relative","4.6","2.1","13.1","3.6","41.0","9.8"
"living with non-relatives only","1.9","2.2","1.5","1.5","1.5","1.1"
"living alone","38.4","19.1","27.9","12.9","6.0","3.4"
