"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"kdz. eregli belediye spor","2008-09","second league","8","1","-","-","6","0","14","1"
"kdz. eregli belediye spor","total","total","8","1","-","-","6","0","14","1"
"camlıca spor","2009-10","regional league","8","0","-","-","4","0","12","0"
"camlıca spor","2010-11","second league","19","0","-","-","0","0","19","0"
"camlıca spor","2011-12","second league","9","0","-","-","0","0","9","0"
"camlıca spor","total","total","36","0","-","-","4","0","40","0"
"kdz. eregli belediye spor","2011-12","first league","7","0","-","-","0","0","7","0"
"kdz. eregli belediye spor","total","total","7","0","-","-","0","0","7","0"
"luleburgaz 39 spor","2012-13","first league","10","0","-","-","0","0","10","0"
"luleburgaz 39 spor","total","total","10","0","-","-","0","0","10","0"
"fatih vatan spor","2013-14","second league","2","0","-","-","0","0","2","0"
"fatih vatan spor","2014-15","third league","5","0","-","-","0","0","5","0"
"fatih vatan spor","2015-16","third league","11","0","-","-","0","0","11","0"
"fatih vatan spor","2016-17","second league","16","0","-","-","0","0","16","0"
"fatih vatan spor","2017-18","first league","18","0","-","-","0","0","18","0"
"fatih vatan spor","2018-19","first league","7","0","-","-","0","0","7","0"
"fatih vatan spor","total","total","59","0","-","-","0","0","59","0"
"career total","career total","career total","120","1","-","-","10","0","130","1"
