"census metropolitan area","total female population","as a percent of all visible minority females in canada","as a percent of all females in each cma"
"census metropolitan area","percentage","percentage","percentage"
"canada","100.0","100.0","19.3"
"st. john's","0.6","0.1","2.1"
"halifax","1.2","0.5","8.7"
"moncton","0.4","0.1","3.4"
"saint john","0.4","0.1","3.3"
"saguenay","0.5","0.0","0.9"
"quebec","2.3","0.4","3.1"
"sherbrooke","0.6","0.1","4.1"
"trois-rivieres","0.5","0.1","2.3"
"montreal","11.5","12.0","20.2"
"ottawa - gatineau","3.7","3.8","19.5"
"kingston","0.5","0.2","6.1"
"peterborough","0.4","0.1","3.3"
"oshawa","1.1","0.7","11.9"
"toronto","17.0","41.9","47.6"
"hamilton","2.2","1.6","14.2"
"st. catharines - niagara","1.2","0.4","7.0"
"kitchener - cambridge - waterloo","1.4","1.2","16.1"
"brantford","0.4","0.1","5.4"
"guelph","0.4","0.3","14.0"
"london","1.4","0.9","12.7"
"windsor","1.0","0.8","17.0"
"barrie","0.6","0.2","6.2"
"greater sudbury","0.5","0.1","2.4"
"thunder bay","0.4","0.1","2.8"
"winnipeg","2.2","2.2","19.5"
"regina","0.6","0.3","10.2"
"saskatoon","0.8","0.4","10.8"
"calgary","3.6","5.3","28.4"
"edmonton","3.4","4.0","22.5"
"kelowna","0.5","0.2","6.1"
"abbotsford - mission","0.5","0.7","25.2"
"vancouver","7.0","16.7","46.1"
"victoria","1.0","0.6","11.6"
