"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","td","lng","fum","lost"
"2011","mia","14","9","16","233","14.6","46","3","3","0","0","0","0","0","0"
"2012","mia","14","9","18","212","11.8","31","2","0","0","0","0","0","0","0"
"2013","mia","16","15","69","759","11.0","67","6","7","15","2.1","1","13","0","0"
"2014","mia","14","14","58","605","10.4","41","3","0","0","0","0","0","0","0"
"2015","buf","13","13","51","528","10.4","40","3","0","0","0","0","0","1","0"
"2016","buf","15","15","57","552","9.7","40","4","0","0","0","0","0","0","0"
"2017","buf","13","13","49","558","11.4","44","2","0","0","0","0","0","1","0"
"2018","buf","13","12","21","184","8.8","44","0","0","0","0","0","0","1","1"
"career","career","112","100","339","3,631","10.7","67","23","7","15","2.1","1","13","3","1"
