"expenditures and gross domestic product","longer-term trends","longer-term trends","longer-term trends","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years"
"expenditures and gross domestic product","1990-2000","2000-10","2010-17","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2017-18"
"current $","current $","current $","current $","current $","current $","current $","current $","current $","current $","current $","current $"
"total r&d, all performers","5.8","4.3","4.4","4.8","1.8","4.7","4.7","3.8","4.4","6.3","5.9"
"business","6.4","3.4","5.3","5.4","2.8","6.7","5.6","4.4","5.3","6.8","5.5"
"federal government","1.9","5.9","0.5","5.4","-2.6","-2","3.1","0.3","-3.1","2.7","10.8"
"federal intramurala","2.1","5.2","0.1","9.3","-2.7","-1.8","4.1","-1.7","-7.1","1.5","14.4"
"ffrdcs","1.7","7.3","1.1","-1.4","-2.4","-2.5","1.3","4.2","4.2","4.6","5.2"
"nonfederal governmentb","na","na","-1.1","0.4","-4.2","-6.8","-5.9","2","4.7","2.9","0.1"
"higher education","5.9","6.9","3","3.5","1.3","1.1","1.3","3.6","4.9","5.1","4.9"
"other nonprofit organizationsc","8.8","6.6","3.8","-1.5","-0.6","2.9","4.9","3.8","7.8","9.3","4.2"
"gross domestic product","5.6","3.9","3.8","3.7","4.2","3.6","4.4","4","2.7","4.3","5.4"
"constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $"
"total r&d, all performers","3.7","2.1","2.7","2.7","-0.2","2.9","2.8","2.8","3.4","4.3","3.3"
"business","4.3","1.3","3.6","3.3","0.8","4.9","3.7","3.4","4.2","4.8","3"
"federal government","-0.1","3.8","-1.1","3.2","-4.4","-3.7","1.3","-0.7","-4.1","0.8","8.2"
"federal intramurala","0","3","-1.5","7.1","-4.5","-3.5","2.2","-2.7","-8.1","-0.4","11.6"
"ffrdcs","-0.4","5.1","-0.5","-3.4","-4.2","-4.2","-0.6","3.1","3.1","2.7","2.7"
"nonfederal governmentb","na","na","-2.7","-1.7","-6","-8.4","-7.6","0.9","3.6","1","-2.3"
"higher education","3.7","4.7","1.3","1.3","-0.6","-0.7","-0.5","2.6","3.8","3.1","2.4"
"other nonprofit organizationsc","6.6","4.4","2.1","-3.5","-2.4","1.2","3","2.7","6.7","7.3","1.7"
"gross domestic product","3.4","1.7","2.2","1.6","2.2","1.8","2.5","2.9","1.6","2.4","2.9"
