"rank","island","local authority","population","population","population","population","population","population","population","population"
"rank","island","local authority","c. 1801","1841","1891","1931","1961","1981","2001","2011"
"1","lewis and harris","na h-eileanan siar","12,164","20,046","30,726","28,042","24,107","22,476","19,918","21,031"
"2","mainland, shetland","shetland","none","20,572","19,741","15,172","13,282","17,722","17,550","18,765"
"3","mainland, orkney","orkney","none","16,022","16,498","13,352","13,495","14,000","15,315","17,162"
"4","skye","highland","14,470","23,082","15,705","9,908","7,479","7,276","9,232","10,008"
"5","bute","argyll and bute","4,759","7,147","11,735","12,112","9,793","7,306","7,228","6,498"
"6","arran","north ayrshire","5,804","6,241","4,730","4,506","3,700","3,845","5,045","4,629"
"7","islay","argyll and bute","9,500","15,772","7,375","4,970","3,860","3,792","3,457","3,228"
"8","mull","argyll and bute","8,016","8,316","4,691","2,903","2,154","2,197","2,667","2,800"
"9","south uist","na h-eileanan siar","none","5,093","3,708","2,810","2,376","2,231","1,818","1,754"
"10","great cumbrae","north ayrshire","509","1,413","1,784","2,144","1,638","1,300","1,434","1,376"
"none","total","none","none","123,704","116,693","95,919","81,884","82,145","83,664","87,251"
"none","change","none","none","none","5.7%","7.8%","14.6%","+0.3%","+1.8%","+4.3%"
