"visible minority group","females","females","females","females","males","males","males"
"visible minority group","thousands","as a percentage of all females","as a percentage of females who belong to a visible minority group","as a percentage of visible minority group","thousands","as a percentage of all males","as a percentage of males who belong to a visible minority group"
"south asian","776.7","4.7","24.1","49.6","790.8","4.9","26.0"
"chinese","692.4","4.1","21.5","52.3","632.3","3.9","20.8"
"black","492.7","3.0","15.3","52.1","453.0","2.8","14.9"
"filipino","350.4","2.1","10.9","56.6","268.9","1.7","8.8"
"latin american","194.9","1.2","6.1","51.1","186.4","1.2","6.1"
"arab","177.1","1.1","5.5","46.5","203.5","1.3","6.7"
"southeast asian","158.0","0.9","4.9","50.6","154.0","1.0","5.1"
"west asian","101.2","0.6","3.1","48.9","105.6","0.7","3.5"
"korean","84.0","0.5","2.6","52.1","77.2","0.5","2.5"
"japanese","49.0","0.3","1.5","56.1","38.3","0.2","1.3"
"visible minority, n.i.e","56.7","0.3","1.8","53.3","49.8","0.3","1.6"
"multiple visible minorities","88.6","0.5","2.8","50.8","83.3","0.5","2.7"
"total visible minority population","3,221.7","19.3","100.0","51.4","3,043.0","18.8","100.0"
"total non-visible minority","13,467.5","80.7","..","..","13,120.1","81.2",".."
"total population","16,689.2","100.0","..","..","16,163.1","100.0",".."
