"language spoken most often at home","females","females","males","males"
"language spoken most often at home","thousands","percentage","thousands","percentage"
"single responses","16,257.6","96.5","15,701.2","96.5"
"english","10,871.5","64.5","10,585.6","65.1"
"french","3,479.6","20.6","3,348.2","20.6"
"non-official language","1,906.6","11.3","1,767.3","10.9"
"multiple responses","597.7","3.5","564.7","3.5"
"english and french","67.7","0.4","63.5","0.4"
"english and non-official language","449.8","2.7","425.4","2.6"
"french and non-official language","56.7","0.3","53.0","0.3"
"english, french and non-official language","23.5","0.1","22.8","0.1"
"total","16,855.3","100.0","16,265.9","100.0"
