"characteristics","percentage of total minimum wage workers","percentage of total minimum wage workers","percentage of total minimum wage workers","minimum wage workers as a percentage of total employees","minimum wage workers as a percentage of total employees","minimum wage workers as a percentage of total employees"
"characteristics","1998","2008","2018","1998","2008","2018"
"characteristics","percent","percent","percent","percent","percent","percent"
"sex","","","","","",""
"male","41.2","39.6","41.2","4.1","4.2","8.5"
"female","58.8","60.4","58.8","6.4","6.4","12.3"
"age","","","","","",""
"15 to 24","60.7","63.6","52.3","18.9","19.0","35.9"
"25 to 54","34.2","28.7","34.3","2.4","2.2","5.4"
"55 and over","5.1","7.7","13.4","3.3","3.0","7.4"
"immigrant status","","","","","",""
"landed immigrant",".","21.1","30.7",".","5.3","12.0"
"canadian-born",".","78.9","69.3",".","5.3","9.8"
"economic family status","","","","","",""
"unattached individuals and lone-parent employees","22.7","24.7","25.7","5.5","5.6","11.3"
"employees in other economic family types","77.3","75.3","74.3","5.1","5.2","10.1"
"educational attainment","","","","","",""
"high school or less","76.8","75.7","65.1","8.3","9.6","20.0"
"postsecondary diploma and above","23.2","24.3","34.9","2.3","2.2","5.5"
"job status","","","","","",""
"full-time","43.5","40.6","45.8","2.8","2.6","5.8"
"part-time","56.5","59.4","54.2","16.2","17.4","31.9"
