"year","host","final","final","final","third place play-off","third place play-off","third place play-off","number of teams"
"year","host","winner","score","runner-up","3rd place","score","4th place","number of teams"
"1983","new caledonia","new zealand","3-2","australia","new caledonia","round robin","fiji","4"
"1986","new zealand","chinese taipei","4-1","australia","new zealand","0-0","new zealand b","4"
"1989","australia","chinese taipei","1-0","new zealand","australia","round robin","australia b","5"
"1991","australia","new zealand","round robin","australia","papua new guinea","n/a","n/a","3"
"1994","papua new guinea","australia","round robin","new zealand","papua new guinea","n/a","n/a","3"
"1998","new zealand","australia","3-1","new zealand","papua new guinea","7-1","fiji","6"
"2003","australia","australia","round robin","new zealand","papua new guinea","round robin","samoa","5"
"2007","papua new guinea","new zealand","round robin","papua new guinea","tonga","round robin","solomon islands","4"
"2010","new zealand","new zealand","11-0","papua new guinea","cook islands","2-0","solomon islands","8"
"2014","papua new guinea","new zealand","round robin","papua new guinea","cook islands","round robin","tonga","4"
"2018","new caledonia","new zealand","8-0","fiji","papua new guinea","7-1","new caledonia","8"
