"club","season","league","league","league","scottish cup","scottish cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"heart of midlothian","2011-12","premier league","0","0","1","0","0","0","0","0","-","-","1","0"
"heart of midlothian","2012-13","premier league","8","0","0","0","1","0","0","0","-","-","9","0"
"heart of midlothian","total","total","8","0","1","0","1","0","0","0","0","0","10","0"
"hibernian","2013-14","premiership","3","0","0","0","0","0","1","0","0","0","4","0"
"hibernian","total","total","3","0","0","0","0","0","1","0","0","0","4","0"
"raith rovers","2013-14","championship","10","0","1","0","0","0","-","-","1","0","12","0"
"raith rovers","total","total","10","0","1","0","0","0","0","0","1","0","12","0"
"east fife","2014-15","league two","32","3","2","0","1","0","-","-","5","0","40","3"
"east fife","2015-16","league two","24","0","2","0","1","0","-","-","1","0","28","0"
"east fife","total","total","56","3","4","0","2","0","-","-","6","0","68","3"
"cowdenbeath","2016-17","league two","33","2","1","0","4","0","-","-","1","0","39","2"
"cowdenbeath","2017-18","league two","10","0","1","0","4","0","-","-","1","0","16","0"
"cowdenbeath","total","total","43","2","2","0","8","0","-","-","2","0","55","2"
"career total","career total","career total","120","5","8","0","11","0","1","0","9","0","151","5"
