"club","season","league","league","cup","cup","contintental","contintental","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"asec mimosas","2001-02","25","3","-","-","25","3","none","none"
"asec mimosas","total","25","3","-","-","25","3","none","none"
"beveren","2002-03","23","0","none","none","-","-","23","0"
"beveren","2003-04","30","2","none","none","-","-","30","2"
"beveren","2004-05","17","2","none","none","7","0","24","2"
"beveren","total","70","4","none","none","7","0","77","4"
"arsenal","2004-05","1","0","3","0","0","0","4","0"
"arsenal","2005-06","18","0","3","1","11","0","32","1"
"arsenal","2006-07","24","0","5","0","6","1","35","1"
"arsenal","2007-08","23","0","3","0","10","0","36","0"
"arsenal","2008-09","28","3","5","1","11","0","44","4"
"arsenal","2009-10","25","1","1","0","10","2","36","3"
"arsenal","2010-11","13","1","8","0","6","0","27","1"
"arsenal","total","132","5","28","2","54","3","214","10"
"galatasaray","2011-12","31","3","2","0","-","-","33","3"
"galatasaray","2012-13","28","0","1","0","10","1","39","1"
"galatasaray","2013-14","18","1","3","0","8","0","30","1"
"galatasaray","2014-15","0","0","0","0","0","0","0","0"
"galatasaray","total","77","4","6","0","18","1","102","5"
"career total","career total","298","16","34","2","79","2","411","22"
