"","gaspesie iles-de-la-madeleine","gaspesie iles-de-la-madeleine","estrie","estrie","montegerie","montegerie","montreal - laval","montreal - laval","laurentides","laurentides","outaouais","outaouais","abitibi-temiscamingue nord-du-quebec","abitibi-temiscamingue nord-du-quebec"
"","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"place of birth","","","","","","","","","","","","","",""
"born in the province of residence","84.8","96.6","64.5","93.2","54.4","91.2","43.3","64.2","66.5","93.7","29.7","77.5","75.4","96.3"
"born in another province","7.1","2.6","7.7","0.7","4.6","1.5","6.5","1.5","12.4","2.1","41.7","15.2","21.0","2.7"
"born outside of canada","1.8","0.4","25.1","5.7","37.9","7.3","50.1","34.3","20.0","4.1","27.3","7.1","3.4","0.9"
"religion","","","","","","","","","","","","","",""
"anglican","34.8","0.0","12.6","0.0","4.9","0.1","1.6","0.1","4.5","0.0","3.6","0.0","0.0","1.1"
"catholic","50.0","96.7","34.4","82.4","37.0","82.5","33.4","57.6","44.7","85.5","40.2","80.7","57.3","86.3"
"pentecostal","0.0","0.0","0.0","0.1","0.4","0.2","1.2","0.7","0.0","0.0","0.4","0.3","10.6","0.6"
"presbyterian","0.0","0.0","0.0","0.0","0.9","0.0","0.4","0.0","0.0","0.0","0.0","0.0","8.7","0.0"
"united church","3.6","0.0","3.8","0.0","3.7","0.0","0.8","0.0","1.9","0.0","4.1","0.0","0.0","0.0"
"other christian","0.0","0.0","13.7","2.4","16.3","2.6","19.4","9.1","19.4","1.6","12.2","3.8","0.0","1.5"
"buddhist, hindu, jewish, muslim and sikh","0.0","0.0","7.4","1.3","11.6","2.1","22.5","12.5","6.9","0.9","6.4","1.4","5.0","0.0"
"other religions","0.0","0.0","0.0","0.0","0.2","0.1","0.4","0.1","0.0","0.0","0.4","0.0","1.1","0.0"
"no religious affiliation","1.8","2.4","15.3","12.9","24.2","12.1","20.1","19.8","17.3","11.6","29.6","13.2","10.1","9.8"
