"field of study","college","bachelor's","master's","doctoral"
"total","35,000","48,000","61,000","65,000"
"education","33,000","47,000","72,000","84,000"
"visual and performing arts, and communications technologies","28,000","29,000","47,000","27,900"
"humanities","24,000","40,000","50,900","47,000"
"social and behavioural sciences, and law","31,400","40,200","50,000","70,000"
"business, management and public administration","35,000","47,600","66,000","97,000"
"physical and life sciences and technologies","35,000","38,800","50,000","55,000"
"mathematics, computer and information sciences","44,000","55,000","62,000","78,000"
"architecture, engineering and related technologies","40,000","57,600","60,000","70,000"
"agriculture, natural resources and conservation","36,000","40,000","51,000","56,000"
"health and related fields","40,000","65,000","67,000","80,000"
"personal, protective and transportation services","31,000","48,000","82,000","x"
