"","college","bachelor's","master's","doctoral"
"total","84","80","86","87"
"men","84","80","85","88"
"women","84","81","86","87"
"field of study","","","",""
"education","88","90","89","92"
"visual and performing arts, and communications technologies","78","73","87","75"
"humanities","78","71","88","88"
"social and behavioural sciences, and law","84","75","84","87"
"business, management and public administration","84","80","85","91"
"physical and life sciences and technologies","71","73","72","86"
"mathematics, computer and information sciences","84","88","87","87"
"architecture, engineering and related technologies","83","87","85","88"
"agriculture, natural resources and conservation","81","72","88","89"
"health and related fields","89","82","88","86"
"personal, protective and transportation services","83","88","91","x"
