"","eastern ontario","eastern ontario","northern ontario","northern ontario"
"","french-language workers","other workers","french-language workers","other workers"
"","percent","percent","percent","percent"
"place of birth","","","",""
"born in the province of residence","78.8","78.9","93.7","86.9"
"both in a different province","10.4","10.0","5.6","5.4"
"born outside of canada","10.9","11.1","0.0","8.0"
"religion","","","",""
"anglican","0.0","10.2","0.0","4.6"
"catholic","87.6","35.1","93.7","34.0"
"pentecostal","0.0","0.8","0.0","1.5"
"presbyterian","0.0","4.9","0.0","1.9"
"united church","0.0","17.6","0.0","11.4"
"other christian","5.6","15.4","0.0","29.5"
"buddhist, hindu, jewish, muslim and sikh","0.0","1.0","0.0","0.0"
"other religions","0.0","0.0","0.0","2.2"
"no religious affiliation","5.1","14.9","0.0","14.8"
