"characteristic","received home care services","received home care services","received home care services","received home care services","unmet need for any home care service","unmet need for any home care service","unmet need for any home care service","unmet need for any home care service","unmet need for hhc services","unmet need for hhc services","unmet need for hhc services","unmet need for hhc services","unmet need for support services","unmet need for support services","unmet need for support services","unmet need for support services"
"characteristic","number","%","95% confidence interval","95% confidence interval","number","%","95% confidence interval","95% confidence interval","number","%","95% confidence interval","95% confidence interval","number","%","95% confidence interval","95% confidence interval"
"characteristic","number","%","95% confidence interval","95% confidence interval","number","%","95% confidence interval","95% confidence interval","number","%","95% confidence interval","95% confidence interval","number","%","95% confidence interval","95% confidence interval"
"characteristic","000","%","from","to","000","%","from","to","000","%","from","to","000","%","from","to"
"total","918.5","3.3","3.2","3.5","432.7","1.6","1.5","1.7","150.0","0.5","0.5","0.6","344.9","1.3","1.1","1.4"
"predisposing characteristics","","","","","","","","","","","","","","","",""
"sex","","","","","","","","","","","","","","","",""
"men","339.6","2.5","2.3","2.7","146.9","1.1","0.9","1.3","64.3","0.5","0.4","0.6","109.4","0.8","0.7","1.0"
"women","579.0","4.2","3.9","4.4","285.9","2.1","1.9","2.3","85.7","0.6","0.5","0.7","235.5","1.7","1.5","1.9"
"age group","","","","","","","","","","","","","","","",""
"18 to 34","128.4","1.6","1.4","1.9","59.8","0.8","0.6","1.0","20.8","0.3","0.2","0.4","46.1","0.6","0.4","0.8"
"35 to 49","98.9","1.4","1.2","1.7","95.6","1.4","1.2","1.7","33.1","0.5","0.4","0.6","74.6","1.1","0.9","1.3"
"50 to 64","179.7","2.5","2.2","2.8","110.3","1.5","1.3","1.8","43.8","0.6","0.5","0.8","85.2","1.2","1.0","1.4"
"65 to 74","156.1","4.7","4.2","5.2","59.0","1.8","1.5","2.0","18.4","0.5","0.4","0.7","47.0","1.4","1.2","1.7"
"75 to 84","188.9","12.2","11.2","13.3","67.0","4.3","3.6","5.2","18.7","1.2","0.8","1.7","55.5","3.6","2.9","4.5"
"85 or older","166.5","34.1","31.4","36.9","41.1","8.5","6.6","10.8","15.3","3.2","1.8","5.6","36.5","7.5","5.7","9.9"
"household type","","","","","","","","","","","","","","","",""
"person living alone","308.8","7.2","6.8","7.7","153.5","3.6","3.3","3.9","42.5","1.0","0.8","1.2","124.9","2.9","2.7","3.2"
"couple alone","261.2","3.3","3.0","3.5","92.7","1.2","1.0","1.3","39.1","0.5","0.4","0.6","67.9","0.9","0.7","1.0"
"parent(s) with child(ren) younger than 25","202.0","1.8","1.6","2.0","120.0","1.1","0.9","1.3","39.3","0.3","0.3","0.5","93.2","0.8","0.7","1.0"
