"","population of immigrants","population of immigrants"
"","percent","number"
"total, both sexes","31","1,566,900"
"1 to 10 years","2","93,700"
"11 to 20 years","2","115,100"
"21 to 30 years","4","189,300"
"31 to 40 years","4","175,600"
"over 40 years","20","993,300"
"total, men","31","731,100"
"1 to 10 years","2","41,300"
"11 to 20 years","2","51,000"
"21 to 30 years","4","84,400"
"31 to 40 years","4","81,500"
"over 40 years","20","473,000"
"total, women","31","835,800"
"1 to 10 years","2","52,400"
"11 to 20 years","2","64,100"
"21 to 30 years","4","104,800"
"31 to 40 years","4","94,100"
"over 40 years","19","520,300"
