"","all senior immigrants","all senior immigrants","all senior immigrants","senior immigrants, 1 to 20 years since immigration","senior immigrants, 1 to 20 years since immigration","senior immigrants, 1 to 20 years since immigration"
"","all","men","women","all","men","women"
"","average marginal effects","average marginal effects","average marginal effects","average marginal effects","average marginal effects","average marginal effects"
"oas/gis entitlement","","","","","",""
"yes","-0.043","-0.046","-0.042","-0.074","-0.085","-0.069"
"no","..","..","..","..","..",".."
"sex","","","","","",""
"male","0.015","..","..","0.042","..",".."
"female","..","..","..","..","..",".."
"education","","","","","",""
"bachelor's degree or higher","-0.038","-0.030","-0.050","0.002","0.000","-0.001"
"some college or university education","-0.028","-0.020","-0.031","-0.016","-0.023","-0.014"
"high school diploma or lower","..","..","..","..","..",".."
"knowledge of official languages","","","","","",""
"english","-0.038","-0.031","-0.049","-0.035","-0.030","-0.043"
"french","-0.026","-0.028","-0.027","-0.045","-0.038","-0.052"
"both english and french","-0.047","-0.034","-0.062","-0.068","-0.073","-0.069"
"neither english nor french","..","..","..","..","..",".."
"hours worked per day by other household members in self-employment","0.003","0.002","0.005","0.005","0.005","0.007"
"household type","","","","","",""
"couple without children","-0.090","-0.057","-0.116","-0.077","-0.034","-0.086"
"couple with children","-0.187","-0.145","-0.191","-0.209","-0.197","-0.167"
"lone-parent","-0.094","-0.078","-0.064","-0.134","-0.141","-0.081"
"other household types","-0.252","-0.231","-0.235","-0.263","-0.285","-0.195"
"single-person","..","..","..","..","..",".."
"presence of other household members aged 26 to 64 years","","","","","",""
"yes","-0.039","-0.012","-0.105","-0.165","-0.125","-0.224"
"no","..","..","..","..","..",".."
"presence of other adult household members who are non-immigrants or who landed in canada over 40 years ago","","","","","",""
"yes","-0.067","-0.071","-0.058","-0.118","-0.160","-0.092"
"no","..","..","..","..","..",".."
"immigrant admission category","","","","","",""
"worker programs and provincial/territorial nominees","-0.034","-0.031","-0.042","-0.033","-0.027","-0.051"
"business programs","0.031","0.027","0.026","0.053","0.061","0.029"
"sponsored immigrants","-0.020","-0.008","-0.025","-0.033","-0.026","-0.035"
"landed prior to 1980","-0.102","-0.085","-0.120","..","..",".."
"refugees","..","..","..","..","..",".."
"source country or region","","","","","",""
"china","0.038","0.028","0.046","0.023","0.013","0.031"
"south asia","-0.014","-0.015","-0.013","0.021","0.017","0.025"
"european countries","-0.040","-0.049","-0.032","-0.050","-0.063","-0.039"
"latin american countries","-0.011","-0.018","-0.003","-0.027","-0.019","-0.028"
"rest of the world","..","..","..","..","..",".."
"social security agreement with canada","","","","","",""
"yes","-0.002","-0.003","-0.001","-0.055","-0.057","-0.051"
"no","..","..","..","..","..",".."
"homeownership status","","","","","",""
"yes","-0.118","-0.110","-0.124","-0.137","-0.135","-0.130"
"no","..","..","..","..","..",".."
"activity limitation","","","","","",""
"yes","0.016","0.010","0.022","0.008","0.004","0.012"
"no","..","..","..","..","..",".."
