"place","athlete","preliminary","preliminary","preliminary","preliminary","preliminary","preliminary","preliminary","final","final","final","final","final","final","final","final","final","mark"
"place","athlete","3.00","3.20","3.40","3.50","3.60","3.65","qual","3.40","3.50","3.60","3.65","3.75","3.80","3.85","3.95","4.06","mark"
"1","harry babcock","--","o","o","o","o","o","qf","o","o","o","--","o","o","o","o","xxx","3.95"
"2","frank nelson","o","--","o","o","o","xo","qf","o","o","o","xo","o","o","xo","xxx","--","3.85"
"2","marc wright","--","--","o","o","o","xo","qf","o","o","o","o","xo","xo","xo","xxx","--","3.85"
"3","william halpenny","--","--","o","o","o","o","qf","o","xo","o","o","xo","xo","--","--","--","3.80"
"3","frank murphy","--","o","o","o","xxo","o","qf","o","o","xo","xo","o","o","xxx","--","--","3.80"
"3","bertil uggla","o","o","o","o","o","xo","qf","o","o","o","o","o","xo","xxx","--","--","3.80"
"7","sam bellah","--","--","xo","xxo","xo","o","qf","o","o","xo","o","xo","xxx","--","--","--","3.75"
"8","frank coyle","--","--","o","o","o","xxo","qf","o","o","xo","xo","xxx","--","--","--","--","3.65"
"8","gordon dukes","--","xxo","o","xxo","o","o","qf","o","o","o","xxo","xxx","--","--","--","--","3.65"
"8","bill fritz","--","o","o","o","o","o","qf","o","xo","xo","xxo","xxx","--","--","--","--","3.65"
"11","robert pasemann","o","o","o","o","xxo","o","qf","xo","xxx","--","--","--","--","--","--","--","3.40"
"none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
"12","carl harleman","--","xo","o","xo","o","xxx","none","none","none","none","none","none","none","none","none","none","3.60"
"12","richard sjoberg","o","o","o","o","xxo","xxx","none","none","none","none","none","none","none","none","none","none","3.60"
"12","clas gille","--","o","o","xxo","xxo","xxx","none","none","none","none","none","none","none","none","none","none","3.60"
"15","fernand gonder","xo","xo","o","o","xxx","--","none","none","none","none","none","none","none","none","none","none","3.50"
"16","ulrich baasch","o","o","o","xxx","--","--","none","none","none","none","none","none","none","none","none","none","3.40"
"16","fritz bøchen vikke","o","o","o","xxx","--","--","none","none","none","none","none","none","none","none","none","none","3.40"
"18","magnus nilsson","--","o","xxx","--","--","--","none","none","none","none","none","none","none","none","none","none","3.20"
"18","hugo svensson","o","o","xxx","--","--","--","none","none","none","none","none","none","none","none","none","none","3.20"
"18","sander santesson","xo","o","xxx","--","--","--","none","none","none","none","none","none","none","none","none","none","3.20"
"18","viktor franzl","xxo","o","xxx","--","--","--","none","none","none","none","none","none","none","none","none","none","3.20"
"18","georgios banikas","xo","xo","xxx","--","--","--","none","none","none","none","none","none","none","none","none","none","3.20"
"23","jindrich jirsak","o","xxx","--","--","--","--","none","none","none","none","none","none","none","none","none","none","3.00"
"23","manlio legat","o","xxx","--","--","--","--","none","none","none","none","none","none","none","none","none","none","3.00"
"johann martin","xxx","--","--","--","--","--","nm","none","none","none","none","none","none","none","none","none","none","none"
