"jurisdiction","remand","remand","remand","sentenced custody","sentenced custody","sentenced custody","probation","probation","probation"
"jurisdiction","number","rate","percent change in rate from 2017/2018","number","rate","percent change in rate from 2017/2018","number","rate","percent change in rate from 2017/2018"
"newfoundland and labrador","153","35","-2","182","42","-1",".","..",".."
"prince edward island","28","23","22","70","56","10","712","572","-1"
"nova scotia","322","41","10","128","16","-20",".","..",".."
"new brunswick","243","38","12","217","34","-16",".","..",".."
"quebec","2,017","30","-3","2,471","36","-12","12,094","177","-1"
"ontario","5,280","46","2","2,050","18","-11","38,231","330","-8"
"manitoba","1,441","138","-14","664","63","-12","5,989","572","-12"
"saskatchewan","983","110","6","940","105","-4","4,879","546","-4"
"alberta","2,481","74","-3","1,017","30","-7","7,792","233","-3"
"british columbia","1,598","39","-7","795","19","-14","11,389","276","-5"
"yukon","47","145","25","20","61","-14","281","862",".."
"northwest territories","98","286","-4","85","247","13","361","1,057","8"
"nunavut","88","366","6","70","291","3","772","3,214","13"
"total-provinces and territories","14,778","49","-2","8,708","29","-10","82,500","294","-6"
"federal","..","..","..","14,071","47","-2","..","..",".."
