"club","season","league","league","league","state league","state league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"internacional","2005","serie a","5","0","1","0","2","0","-","-","8","0","none","none"
"internacional","2006","serie a","2","0","5","0","-","-","1","0","-","-","8","0"
"internacional","2007","serie a","0","0","0","0","-","-","0","0","-","-","0","0"
"internacional","subtotal","subtotal","7","0","6","0","2","0","1","0","-","-","16","0"
"maritimo b","2007-08","segunda divisao","1","0","-","-","-","-","-","-","-","-","1","0"
"maritimo b","2008-09","segunda divisao","2","0","-","-","-","-","-","-","-","-","2","0"
"maritimo b","2009-10","segunda divisao","9","0","-","-","-","-","-","-","-","-","9","0"
"maritimo b","subtotal","subtotal","12","0","-","-","-","-","-","-","-","-","12","0"
"maritimo","2007-08","primeira liga","0","0","-","-","0","0","-","-","0","0","none","none"
"maritimo","2008-09","primeira liga","2","0","-","-","0","0","0","0","1","0","3","0"
"maritimo","2009-10","primeira liga","3","0","-","-","1","0","-","-","4","0","none","none"
"maritimo","2010-11","primeira liga","30","0","-","-","0","0","4","0","1","0","35","0"
"maritimo","subtotal","subtotal","35","0","-","-","1","0","4","0","2","0","42","0"
"sporting","2011-12","primeira liga","2","0","-","-","0","0","3","0","3","0","8","0"
"sporting","2012-13","primeira liga","0","0","-","-","0","0","1","0","2","0","3","0"
"sporting","2013-14","primeira liga","0","0","-","-","0","0","-","-","3","0","3","0"
"sporting","2014-15","primeira liga","1","0","-","-","3","0","0","0","4","0","8","0"
"sporting","2015-16","primeira liga","1","0","-","-","0","0","2","0","2","0","5","0"
"sporting","subtotal","subtotal","4","0","-","-","3","0","6","0","14","0","27","0"
"sporting b","2012-13","segunda liga","3","0","-","-","-","-","-","-","-","-","3","0"
"sporting b","2013-14","segunda liga","3","0","-","-","-","-","-","-","-","-","3","0"
"sporting b","subtotal","subtotal","6","0","-","-","-","-","-","-","-","-","6","0"
"chapecoense","2016","serie a","6","0","1","0","4","0","0","0","-","-","11","0"
"career total","career total","career total","90","0","7","0","10","0","11","0","16","0","134","0"
