"socio-demographic characteristic","men","men","men","women","women","women"
"socio-demographic characteristic","adjusted odds ratio","95% confidence interval","95% confidence interval","adjusted odds ratio","95% confidence interval","95% confidence interval"
"socio-demographic characteristic","adjusted odds ratio","from","to","adjusted odds ratio","from","to"
"labour force status","","","","","",""
"employed","1.00","..","..","1.00","..",".."
"unemployed","1.23","0.65","2.33","1.39","0.67","2.87"
"not in labour force","0.93","0.61","1.42","0.80","0.53","1.20"
"participated in traditional activities in past year","1.14","0.68","1.91","0.64","0.33","1.22"
"education","","","","","",""
"currently attending","0.90","0.31","2.63","0.49","0.15","1.61"
"less than high school","1.00","..","..","1.00","..",".."
"high school diploma","0.53","0.31","0.89","0.47","0.28","0.78"
"postsecondary diploma","1.09","0.70","1.69","0.59","0.38","0.91"
"household income quintile","0.85","0.75","0.97","0.96","0.84","1.11"
"household crowding","1.53","1.01","2.31","1.55","1.02","2.36"
"regular smoker in home","1.86","1.23","2.82","2.27","1.43","3.59"
"stronger family ties","1.06","0.68","1.65","1.24","0.80","1.92"
"high household food security","0.79","0.53","1.18","0.41","0.27","0.62"
"diagnosed mood and/or anxiety disorder","2.33","0.95","5.73","0.88","0.48","1.61"
"heavy drinking","1.40","0.96","2.03","1.38","0.92","2.08"
"personal residential school experience","1.26","0.72","2.21","2.35","1.28","4.33"
"parental residential school experience","","","","","",""
"yes","1.17","0.78","1.75","1.30","0.91","1.87"
"no","1.00","..","..","1.00","..",".."
"don't know","1.96","0.92","4.19","1.63","0.80","3.30"
