"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"colon","2012-13","argentine primera division","1","0","0","0","-","-","0","0","0","0","1","0"
"colon","2013-14","argentine primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"colon","2014","primera b nacional","7","1","2","1","-","-","0","0","9","2","none","none"
"colon","2015","argentine primera division","3","0","0","0","-","-","3","1","6","1","none","none"
"colon","2016","argentine primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"colon","2016-17","argentine primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"colon","2017-18","argentine primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"colon","total","total","12","1","2","1","-","-","0","0","3","1","17","3"
"gimnasia y esgrima","2013-14","primera b nacional","21","9","0","0","-","-","0","0","21","9","none","none"
"liga de loja","2015","serie a","17","5","-","-","0","0","0","0","17","5","none","none"
"patronato","2016","argentine primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"patronato","2016-17","argentine primera division","0","0","1","0","-","-","0","0","1","0","none","none"
"patronato","total","total","1","0","1","0","-","-","0","0","2","0","none","none"
"santamarina","2016-17","primera b nacional","25","2","1","0","-","-","0","0","26","2","none","none"
"carabobo","2018","venezuelan primera division","8","1","0","0","-","-","0","0","0","0","8","1"
"gimnasia y esgrima","2018-19","primera b nacional","0","0","0","0","-","-","0","0","0","0","0","0"
"career total","career total","career total","84","18","4","1","-","-","0","0","3","1","91","20"
