"characteristic","total","total","total","men","men","men","women","women","women"
"characteristic","hazard ratio","95% confidence interval","95% confidence interval","hazard ratio","95% confidence interval","95% confidence interval","hazard ratio","95% confidence interval","95% confidence interval"
"characteristic","hazard ratio","from","to","hazard ratio","from","to","hazard ratio","from","to"
"uv radiation z-score","1.22","1.19","1.25","1.26","1.21","1.30","1.17","1.13","1.22"
"immigrant status","","","","","","","","",""
"not immigrant","1.00","..","..","1.00","..","..","1.00","..",".."
"immigrant","0.93","0.88","0.99","0.85","0.79","0.92","1.07","0.98","1.17"
"marital status","","","","","","","","",""
"married or common-law","1.00","..","..","1.00","..","..","1.00","..",".."
"separated, widowed, divorced","0.92","0.86","0.99","0.88","0.79","0.99","0.94","0.85","1.03"
"single","0.87","0.80","0.94","0.89","0.80","1.00","0.85","0.75","0.95"
"household income adequacy quintile","","","","","","","","",""
"1st","1.00","..","..","1.00","..","..","1.00","..",".."
"2nd","1.16","1.06","1.26","1.14","1.00","1.28","1.18","1.05","1.33"
"3rd","1.21","1.11","1.32","1.21","1.07","1.36","1.22","1.08","1.37"
"4th","1.39","1.28","1.51","1.45","1.29","1.63","1.32","1.17","1.49"
"5th","1.52","1.40","1.65","1.55","1.38","1.74","1.48","1.32","1.68"
"educational attainment","","","","","","","","",""
"less than secondary completion","1.00","..","..","1.00","..","..","1.00","..",".."
"secondary completion","1.29","1.22","1.36","1.23","1.14","1.32","1.37","1.26","1.50"
"postsecondary non-university","1.46","1.36","1.56","1.34","1.21","1.48","1.58","1.43","1.74"
"university graduation","1.65","1.53","1.79","1.66","1.50","1.83","1.63","1.44","1.84"
"occupational group","","","","","","","","",""
"management","1.00","..","..","1.00","..","..","1.00","..",".."
"professional","0.93","0.85","1.01","0.89","0.79","0.99","1.01","0.86","1.17"
"skilled, technical, supervisory","0.88","0.82","0.95","0.87","0.80","0.96","0.93","0.80","1.07"
"semi-skilled","0.88","0.81","0.96","0.83","0.75","0.93","0.95","0.82","1.09"
"unskilled","0.76","0.68","0.85","0.80","0.69","0.92","0.73","0.60","0.89"
"not employed","0.84","0.77","0.92","0.91","0.81","1.02","0.82","0.70","0.96"
"outdoor occupation","","","","","","","","",""
"no","1.00","..","..","1.00","..","..","1.00","..",".."
"yes","0.95","0.87","1.03","0.94","0.85","1.04","1.06","0.87","1.29"
