"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"nottingham forest","1989-90","first division","0","0","0","0","0","0","-","-","0","0"
"chesterfield","1989-90","fourth division","22","2","-","-","3","0","25","2","none","none"
"chesterfield","1990-91","fourth division","28","2","1","0","1","0","2","0","32","2"
"chesterfield","1991-92","fourth division","42","3","1","0","2","0","1","0","46","3"
"chesterfield","1992-93","third division","20","1","0","0","0","0","2","0","22","1"
"chesterfield","1993-94","third division","20","0","1","0","2","0","2","0","25","0"
"chesterfield","1994-95","third division","22","0","2","0","0","0","3","0","27","0"
"chesterfield","1995-96","second division","41","0","2","0","2","0","3","0","48","0"
"chesterfield","1996-97","second division","36","0","6","1","2","0","0","0","44","1"
"chesterfield","total","total","231","8","13","1","9","0","16","0","269","9"
"bristol city","1997-98","second division","11","0","0","0","1","0","0","0","12","0"
"bristol city","1998-99","first division","6","0","0","0","2","0","-","-","8","0"
"bristol city","total","total","17","0","0","0","3","0","0","0","20","0"
"luton town","1998-99","second division","14","1","-","-","1","0","15","1","none","none"
"millwall","1999-2000","second division","1","0","0","0","0","0","0","0","1","0"
"millwall","2000-01","second division","33","0","2","0","1","0","0","0","36","0"
"millwall","2001-02","first division","35","3","2","0","2","0","-","-","39","3"
"millwall","total","total","69","3","4","0","3","0","0","0","76","3"
"watford","2002-03","first division","24","0","0","0","1","0","-","-","25","0"
"watford","2003-04","first division","25","0","1","0","1","0","-","-","27","0"
"watford","2004-05","championship","23","0","0","0","3","0","-","-","26","0"
"watford","total","total","72","0","1","0","5","0","-","-","78","0"
"northampton town","2005-06","league two","35","0","1","0","2","0","0","0","38","0"
"northampton town","2006-07","league one","21","0","2","0","1","0","0","0","24","0"
"northampton town","total","total","56","0","3","0","3","0","0","0","62","0"
"career total","career total","career total","459","12","21","1","23","0","17","0","520","13"
