"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","us","us r&b","us a/c","aus","ger","nld","nz","uk","certifications","album"
"1990","i just can't handle it","-","3","-","-","-","-","20","-","none","hi-five"
"1991","i like the way","1","1","42","47","41","47","43","43","us: gold","hi-five"
"1991","i can't wait another minute","8","1","30","-","-","-","-","-","none","hi-five"
"1991","just another girlfriend","88","41","-","-","-","-","-","-","none","hi-five"
"1992","she's playing hard to get","5","2","-","46","-","76","14","55","none","keep it goin' on"
"1992","quality time","38","3","-","-","-","-","36","-","none","keep it goin' on"
"1993","mary, mary","-","50","-","-","-","-","-","-","none","keep it goin' on"
"1993","unconditional love","92","21","-","-","-","-","-","-","none","faithful"
"1993","never should've let you go","30","10","-","-","-","-","38","-","none","faithful"
"1994","faithful","-","52","-","-","-","-","-","-","none","faithful"
"1994","what can i say to you","-","13","-","-","-","-","-","-","none","faithful"
"2012","favorite girl","-","36","-","-","-","-","-","-","none","legacy"
"2013","you never know","-","-","-","-","-","-","-","-","none","legacy"
"2014","it's nothing","-","-","-","-","-","-","-","-","none","legacy"
"2015","different kiss","-","-","-","-","-","-","-","-","none","legacy"
"2015","sunshine","-","-","-","-","-","-","-","-","none","legacy"
"2015","christmas","-","-","-","-","-","-","-","-","none","legacy"
"2016","kit kat","-","-","-","-","-","-","-","-","none","legacy"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
