"year","international","international","domestic","domestic","unscheduled","unscheduled","total","total"
"year","aircraft movements","% change","aircraft movements","% change","aircraft movements","% change","aircraft movements","% change"
"2010-2011","1,460","0.1%","49,623","1.5%","3,635","59.4%","54,718","3.6%"
"2011-2012","1,404","3.8%","50,491","1.7%","3,299","9.2%","55,194","0.9%"
"2012-2013","1,739","23.9%","43,875","13.1%","4,059","23.0%","49,673","10.0%"
"2013-2014","2,134","22.7%","42,928","2.2%","4,497","10.9%","49,559","0.2%"
"2014-2015","2,216","3.8%","42,325","1.4%","4,814","7.1%","49,355","0.4%"
"2015-2016","2,132","3.8%","44,544","5.3%","5,630","17.0%","52,316","6.0%"
"2016-2017","2,780","30.4%","46,466","4.3%","5,789","2.3%","55,030","5.2%"
"2017-2018","2,217","25.4%","46,480","0.0%","5,369","7.8%","54,066","1.8%"
