"","total - new brunswick","total - new brunswick","total - new brunswick","north of the province","north of the province","north of the province","south-east of the province","south-east of the province","south-east of the province"
"","present in 2011","expected in 2011","difference","present in 2011","expected in 2011","difference","present in 2011","expected in 2011","difference"
"","numbers","numbers","numbers","numbers","numbers","numbers","numbers","numbers","numbers"
"total - health care professionals","15,525","13,690","1,835","6,970","6,465","505","5,595","4,705","890"
"registered nurses and registered psychiatric nurses","4,260","3,935","325","1,905","1,970","-65","1,580","1,300","280"
"general practitioners and family physicians","605","345","260","190","105","85","245","135","110"
"psychologists","265","245","20","75","80","-5","110","120","-10"
"social workers","815","735","80","395","330","65","290","230","60"
"pharmacists","360","380","-20","165","210","-45","115","100","15"
"licensed practical nurses","995","910","85","500","460","40","360","330","30"
"paramedical occupations","305","435","-130","140","220","-80","90","100","-10"
"nurse aides, orderlies and patient service associates","3,210","2,665","545","1,890","1,420","470","950","950","0"
"other health care professionals","4,710","4,090","620","1,710","1,700","10","1,850","1,450","400"
