"jurisdiction","custody","custody","custody","community supervision","community supervision","community supervision","total correctional services","total correctional services","total correctional services","total correctional services"
"jurisdiction","number","rate","percent change in rate from 2017/2018","number","rate","percent change in rate from 2017/2018","number","rate","percent change in rate from 2017/2018","percent change in rate from 2014/2015"
"newfoundland and labrador","335","77","-2",".","..","..",".","..","..",".."
"prince edward island","102","82","13","718","578","0","820","659","1","-22"
"nova scotia","468","59","-1",".","..","..",".","..","..",".."
"new brunswick","469","74","-1",".","..","..",".","..","..",".."
"quebec","4,488","66","-8","14,320","210","-1","18,808","276","-3","-3"
"ontario","7,447","64","-2","40,673","352","-7","48,120","416","-7","-17"
"manitoba","2,105","201","-14","6,323","604","-12","8,428","805","-12","-20"
"saskatchewan","1,923","215","1","5,796","649","-4","7,719","864","-3","3"
"alberta","3,615","108","-4","8,451","253","-4","12,066","361","-4","."
"british columbia","2,423","59","-9","12,082","292","-6","14,505","351","-6","-9"
"yukon","67","206","10","281","862",".","348","1,068",".","-27"
"northwest territories","183","534","3","380","1,112","6","563","1,646","5","-11"
"nunavut","160","667","4","813","3,384","11","973","4,051","10","-6"
"total-provinces and territories","23,783","80","-5","89,838","321","-6","112,350","401","-6","-12"
"federal","14,071","47","-2","9,278","31","1","23,349","78","-1","-4"
"total-all jurisdictions","37,854","127","-4","..","..","..","..","..","..",".."
